date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:21	109/109	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jan%202021%2013:28:21%20GMT	https://indicanews.fr/robots.txt		(from )
14:28:22	123203/123203	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Jan%202021%2013:28:22%20GMT	https://indicanews.fr/	C:/Users/neil/Documents/website%20httrack/2222/web/index.html	(from )
14:28:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Jan%202021%2013:28:22%20GMT	http://indicanews.fr/wp-content/uploads/2021/01/ListImage-315x14-Zebet.png	C:/Users/neil/Documents/website%20httrack/2222/web/images/listimage-315x14-zebet.0.delayed	(from https://indicanews.fr/)
14:28:23	4695/4695	---M--	200	added ('OK')	image/png	etag:%225ffd876a-1257%22	https://indicanews.fr/wp-content/uploads/2021/01/ListImage-315x14-Zebet.png	C:/Users/neil/Documents/website%20httrack/2222/web/images/listimage-315x14-zebet.png	(from https://indicanews.fr/)
14:28:23	87561/87561	---MCZ	200	added ('OK')	text/css	etag:W/%225fdbb8a5-15609%22	https://indicanews.fr/wp-content/themes/astra/assets/css/minified/style.min.css?ver=2.6.2	C:/Users/neil/Documents/website%20httrack/2222/web/images/style.min61da.css	(from https://indicanews.fr/)
14:28:23	3304/3304	---M--	200	added ('OK')	font/woff	etag:%225fdbb8a5-ce8%22	https://indicanews.fr/wp-content/themes/astra/assets/fonts/astra.woff	C:/Users/neil/Documents/website%20httrack/2222/web/images/astra.woff	(from https://indicanews.fr/)
14:28:23	51433/51433	---MCZ	200	added ('OK')	text/css	etag:W/%225ffc83cc-c8e9%22	https://indicanews.fr/wp-includes/css/dist/block-library/style.min.css?ver=5.6	C:/Users/neil/Documents/website%20httrack/2222/web/images/style.min40df.css	(from https://indicanews.fr/)
14:28:24	8673/8673	---MCZ	200	added ('OK')	text/css	etag:W/%225ffee4c1-21e1%22	https://indicanews.fr/wp-content/uploads/astra-addon/astra-addon-5ffee4c15b8a24-91907890.css?ver=2.7.3	C:/Users/neil/Documents/website%20httrack/2222/web/images/astra-addon-5ffee4c15b8a24-91907890de39.css	(from https://indicanews.fr/)
14:28:24	16636/16636	---MCZ	200	added ('OK')	text/css	etag:W/%225ffd91d7-40fc%22	https://indicanews.fr/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.9.1	C:/Users/neil/Documents/website%20httrack/2222/web/images/elementor-icons.min74e5.css	(from https://indicanews.fr/)
14:28:24	42354/42354	---MC-	200	added ('OK')	application/rss+xml	etag:%22247c4e33388c96c2d9f51f100b294247%22	https://indicanews.fr/feed/	C:/Users/neil/Documents/website%20httrack/2222/web/index-2.html	(from https://indicanews.fr/)
14:28:24	18468/18468	---MCZ	200	added ('OK')	text/css	etag:W/%225ffd91d7-4824%22	https://indicanews.fr/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.0.16	C:/Users/neil/Documents/website%20httrack/2222/web/images/animations.min952b.css	(from https://indicanews.fr/)
14:28:24	3855/3855	---MCZ	200	added ('OK')	text/css	etag:W/%225ffd91d7-f0f%22	https://indicanews.fr/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.0.16	C:/Users/neil/Documents/website%20httrack/2222/web/images/frontend-legacy.min952b.css	(from https://indicanews.fr/)
14:28:25	112213/112213	---MCZ	200	added ('OK')	text/css	etag:W/%225ffd91d7-1b655%22	https://indicanews.fr/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.0.16	C:/Users/neil/Documents/website%20httrack/2222/web/images/frontend.min952b.css	(from https://indicanews.fr/)
14:28:25	981/981	---MCZ	200	added ('OK')	text/css	etag:W/%225ffecdef-3d5%22	https://indicanews.fr/wp-content/uploads/elementor/css/post-456.css?ver=1610534383	C:/Users/neil/Documents/website%20httrack/2222/web/images/post-4565a37.css	(from https://indicanews.fr/)
14:28:25	11173/11173	---MC-	200	added ('OK')	application/rss+xml	etag:%22b6683b9dd4a4a7c6dd7ce813d1e8c0c5%22	https://indicanews.fr/comments/feed/	C:/Users/neil/Documents/website%20httrack/2222/web/index-3.html	(from https://indicanews.fr/)
14:28:25	210961/210961	---MCZ	200	added ('OK')	text/css	etag:W/%225ffd91eb-33811%22	https://indicanews.fr/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.0.9	C:/Users/neil/Documents/website%20httrack/2222/web/images/frontend.min677a.css	(from https://indicanews.fr/)
14:28:25	33829/33829	---MCZ	200	added ('OK')	text/css	etag:W/%225ffecdef-8425%22	https://indicanews.fr/wp-content/uploads/elementor/css/global.css?ver=1610534383	C:/Users/neil/Documents/website%20httrack/2222/web/images/global5a37.css	(from https://indicanews.fr/)
14:28:25	47869/47869	---MCZ	200	added ('OK')	text/css	etag:W/%225ffeed35-bafd%22	https://indicanews.fr/wp-content/uploads/elementor/css/post-457.css?ver=1610542389	C:/Users/neil/Documents/website%20httrack/2222/web/images/post-457dc16.css	(from https://indicanews.fr/)
14:28:26	55753/55753	---MCZ	200	added ('OK')	text/css	etag:W/%225ffd91d7-d9c9%22	https://indicanews.fr/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.12.0	C:/Users/neil/Documents/website%20httrack/2222/web/images/fontawesome.minb683.css	(from https://indicanews.fr/)
14:28:26	668/668	---MCZ	200	added ('OK')	text/css	etag:W/%225ffd91d7-29c%22	https://indicanews.fr/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.12.0	C:/Users/neil/Documents/website%20httrack/2222/web/images/solid.minb683.css	(from https://indicanews.fr/)
14:28:27	101300/101300	---MCZ	200	added ('OK')	application/json	date:Wed,%2013%20Jan%202021%2013:28:26%20GMT	https://indicanews.fr/wp-json/	C:/Users/neil/Documents/website%20httrack/2222/web/index-4.html	(from https://indicanews.fr/)
14:28:27	95201/95201	---MCZ	200	added ('OK')	application/json	date:Wed,%2013%20Jan%202021%2013:28:26%20GMT	https://indicanews.fr/wp-json/wp/v2/pages/457	C:/Users/neil/Documents/website%20httrack/2222/web/images/457.json	(from https://indicanews.fr/)
14:28:27	792/792	---MCZ	200	added ('OK')	text/xml	date:Wed,%2013%20Jan%202021%2013:28:27%20GMT	https://indicanews.fr/xmlrpc.php?rsd	C:/Users/neil/Documents/website%20httrack/2222/web/images/xmlrpc0db0.php	(from https://indicanews.fr/)
14:28:27	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%225f24addf-415%22	https://indicanews.fr/wp-includes/wlwmanifest.xml	C:/Users/neil/Documents/website%20httrack/2222/web/images/wlwmanifest.xml	(from https://indicanews.fr/)
14:28:28	2923/2923	---MCZ	200	added ('OK')	application/json	date:Wed,%2013%20Jan%202021%2013:28:27%20GMT	https://indicanews.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Findicanews.fr%2F	C:/Users/neil/Documents/website%20httrack/2222/web/images/embed9702.json	(from https://indicanews.fr/)
14:28:28	3040/3040	---MCZ	200	added ('OK')	text/xml	date:Wed,%2013%20Jan%202021%2013:28:28%20GMT	https://indicanews.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Findicanews.fr%2F&format=xml	C:/Users/neil/Documents/website%20httrack/2222/web/images/embed3674	(from https://indicanews.fr/)
14:28:28	2523/2523	---M--	200	added ('OK')	image/png	etag:%225ffee3c0-9db%22	https://indicanews.fr/wp-content/uploads/2021/01/cropped-NicePng_gol-png_4176665-32x32.png	C:/Users/neil/Documents/website%20httrack/2222/web/images/cropped-nicepng_gol-png_4176665-32x32.png	(from https://indicanews.fr/)
14:28:28	29192/29192	---M--	200	added ('OK')	image/png	etag:%225ffee3c0-7208%22	https://indicanews.fr/wp-content/uploads/2021/01/cropped-NicePng_gol-png_4176665-192x192.png	C:/Users/neil/Documents/website%20httrack/2222/web/images/cropped-nicepng_gol-png_4176665-192x192.png	(from https://indicanews.fr/)
14:28:28	32116/32116	---M--	200	added ('OK')	image/png	etag:%225ffee3c0-7d74%22	https://indicanews.fr/wp-content/uploads/2021/01/cropped-NicePng_gol-png_4176665-180x180.png	C:/Users/neil/Documents/website%20httrack/2222/web/images/cropped-nicepng_gol-png_4176665-180x180.png	(from https://indicanews.fr/)
14:28:29	7691/7691	---M--	200	added ('OK')	image/png	etag:%225ffed5e2-1e0b%22	https://indicanews.fr/wp-content/uploads/2021/01/2.png	C:/Users/neil/Documents/website%20httrack/2222/web/images/2.png	(from https://indicanews.fr/)
14:28:29	11192/11192	---M--	200	added ('OK')	image/png	etag:%225ffee1e6-2bb8%22	https://indicanews.fr/wp-content/uploads/2021/01/1-france-pari.png	C:/Users/neil/Documents/website%20httrack/2222/web/images/1-france-pari.png	(from https://indicanews.fr/)
14:28:29	3559/3559	---M--	200	added ('OK')	image/png	etag:%225ffed6c8-de7%22	https://indicanews.fr/wp-content/uploads/2021/01/315x140-pokerstarsSport.png	C:/Users/neil/Documents/website%20httrack/2222/web/images/315x140-pokerstarssport.png	(from https://indicanews.fr/)
14:28:29	2739/2739	---M--	200	added ('OK')	image/png	etag:%225ffed892-ab3%22	https://indicanews.fr/wp-content/uploads/2021/01/315x140-Betclic.png	C:/Users/neil/Documents/website%20httrack/2222/web/images/315x140-betclic.png	(from https://indicanews.fr/)
14:28:30	6806/6806	---M--	200	added ('OK')	image/png	etag:%225ffed7d3-1a96%22	https://indicanews.fr/wp-content/uploads/2021/01/315x140-Unibet-Green.png	C:/Users/neil/Documents/website%20httrack/2222/web/images/315x140-unibet-green.png	(from https://indicanews.fr/)
14:28:30	32208/32208	---M--	200	added ('OK')	image/png	etag:%225ffed812-7dd0%22	https://indicanews.fr/wp-content/uploads/2021/01/315x140-Winamax-OnGray.png	C:/Users/neil/Documents/website%20httrack/2222/web/images/315x140-winamax-ongray.png	(from https://indicanews.fr/)
14:28:30	7504/7504	---M--	200	added ('OK')	image/png	etag:%225ffed84b-1d50%22	https://indicanews.fr/wp-content/uploads/2021/01/315x140-PMU-Sport.png	C:/Users/neil/Documents/website%20httrack/2222/web/images/315x140-pmu-sport.png	(from https://indicanews.fr/)
14:28:30	8218/8218	---M--	200	added ('OK')	image/png	etag:%225ffed875-201a%22	https://indicanews.fr/wp-content/uploads/2021/01/315x140-ParionsSport.png	C:/Users/neil/Documents/website%20httrack/2222/web/images/315x140-parionssport.png	(from https://indicanews.fr/)
14:28:31	31384/31384	---M--	200	added ('OK')	image/png	etag:%225ffee1fc-7a98%22	https://indicanews.fr/wp-content/uploads/2021/01/1-logonetbet-500x240-1.png	C:/Users/neil/Documents/website%20httrack/2222/web/images/1-logonetbet-500x240-1.png	(from https://indicanews.fr/)
14:28:31	10594/10594	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fdbb8a5-2962%22	https://indicanews.fr/wp-content/themes/astra/assets/js/minified/style.min.js?ver=2.6.2	C:/Users/neil/Documents/website%20httrack/2222/web/images/style.min61da.js	(from https://indicanews.fr/)
14:28:31	2399/2399	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ffee4c1-95f%22	https://indicanews.fr/wp-content/uploads/astra-addon/astra-addon-5ffee4c15bc424-96077189.js?ver=2.7.3	C:/Users/neil/Documents/website%20httrack/2222/web/images/astra-addon-5ffee4c15bc424-96077189de39.js	(from https://indicanews.fr/)
14:28:31	1434/1434	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f24addf-59a%22	https://indicanews.fr/wp-includes/js/wp-embed.min.js?ver=5.6	C:/Users/neil/Documents/website%20httrack/2222/web/images/wp-embed.min40df.js	(from https://indicanews.fr/)
